id_entrega,id_estudiante,fecha_subida,materia,tipo_proyecto,puntaje_obtenido,estado_entrega,campus_entrega,nombre_completo,fecha_nacimiento,carrera,campus_origen,tipo_beca,estado_academico,estudiante_identificado,puntaje_pendiente,anio_entrega,mes_entrega,aprobado,fecha_procesamiento
PRJ-1036,E025,2026-08-24,Desarrollo de Software,Prototipo,,Pendiente,Matriz,Lucas Cordero,2000-05-20,Ingeniería de Software,Matriz,Completa,Activo,True,True,2026,8,False,2026-08-18
PRJ-1037,E027,2026-08-25,Sistemas de Bases de Datos,Modelado ER,85.0,Aprobado,Matriz,Diego Narváez,2001-07-30,Ingeniería de Software,Matriz,Ninguna,Activo,True,False,2026,8,True,2026-08-18
PRJ-1038,E028,2026-08-25,DataOps,Pipeline,93.0,Aprobado,Matriz,Antonella Rivas,1999-08-15,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,8,True,2026-08-18
PRJ-1039,E001,2026-08-26,Desarrollo de Software,Prototipo,96.0,Aprobado,Matriz,Mateo Alvarado,1998-05-12,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,8,True,2026-08-18
PRJ-1040,E002,2026-08-26,Sistemas de Bases de Datos,Normalización,78.0,Aprobado,Matriz,Camila Sánchez,2000-02-20,Ingeniería de Software,Matriz,Parcial,Activo,True,False,2026,8,True,2026-08-18
PRJ-1041,E003,2026-08-27,DataOps,Deploy,90.5,Aprobado,Matriz,Santiago Ríos,1999-03-10,Ciencias de Datos,Matriz,Ninguna,Activo,True,False,2026,8,True,2026-08-18
PRJ-1042,E006,2026-08-27,Desarrollo de Software,API REST,95.0,Aprobado,Matriz,Martina Vega,2000-06-18,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,8,True,2026-08-18
PRJ-1043,E007,2026-08-28,Sistemas de Bases de Datos,Modelado ER,82.0,Aprobado,Matriz,Alejandro Mena,1999-07-22,Ingeniería de Software,Matriz,Parcial,Activo,True,False,2026,8,True,2026-08-18
PRJ-1044,E008,2026-08-28,DataOps,Deploy,91.0,Aprobado,Matriz,Luciana Herrera,1998-08-30,Ciencias de Datos,Matriz,Ninguna,Activo,True,False,2026,8,True,2026-08-18
PRJ-1045,E011,2026-08-29,Desarrollo de Software,Testing,89.0,Aprobado,Matriz,Joaquín Salazar,1999-10-15,Ciencias de Datos,Matriz,Parcial,Activo,True,False,2026,8,True,2026-08-18
PRJ-1046,E012,2026-08-29,Sistemas de Bases de Datos,Script SQL,68.0,Revisión,Matriz,Isabella Mora,2000-11-02,Ingeniería de Software,Matriz,Ninguna,Inactivo,True,False,2026,8,False,2026-08-18
PRJ-1047,E013,2026-08-30,DataOps,Pipeline,97.0,Aprobado,Matriz,Matías Jaramillo,1998-11-20,Ciencias de Datos,Matriz,Completa,Activo,True,False,2026,8,True,2026-08-18
PRJ-1048,E016,2026-08-30,Desarrollo de Software,API REST,84.0,Aprobado,Matriz,Emilia Bustamante,2000-01-08,Ciencias de Datos,Matriz,Parcial,Activo,True,False,2026,8,True,2026-08-18
PRJ-1049,E020,2026-08-31,Sistemas de Bases de Datos,Modelado ER,76.0,Aprobado,Matriz,Daniela Vargas,2000-03-10,Ingeniería de Software,Matriz,Ninguna,Activo,True,False,2026,8,True,2026-08-18
PRJ-1050,E021,2026-08-31,DataOps,Deploy,99.0,Aprobado,Matriz,Tomás Aguirre,1998-03-22,Ciencias de Datos,Matriz,Completa,Activo,True,False,2026,8,True,2026-08-18
PRJ-1051,E024,2026-09-01,Desarrollo de Software,Prototipo,93.0,Aprobado,Matriz,Mía Espinosa,2001-05-02,Ciencias de Datos,Matriz,Ninguna,Activo,True,False,2026,9,True,2026-08-18
PRJ-1052,E025,2026-09-01,Sistemas de Bases de Datos,Normalización,88.0,Aprobado,Matriz,Lucas Cordero,2000-05-20,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,9,True,2026-08-18
PRJ-1053,E027,2026-09-02,DataOps,Deploy,94.0,Aprobado,Matriz,Diego Narváez,2001-07-30,Ingeniería de Software,Matriz,Ninguna,Activo,True,False,2026,9,True,2026-08-18
PRJ-1054,E028,2026-09-02,Desarrollo de Software,Testing,91.0,Aprobado,Matriz,Antonella Rivas,1999-08-15,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,9,True,2026-08-18
PRJ-1055,E031,2026-09-03,Sistemas de Bases de Datos,Script SQL,,Pendiente,Matriz,Carlos Viteri,2001-01-14,Ingeniería de Software,Matriz,Completa,Activo,True,True,2026,9,False,2026-08-18
PRJ-1056,E033,2026-09-03,Desarrollo de Software,Testing,94.0,Aprobado,Matriz,Luis Macías,1997-06-10,Ingeniería de Software,Matriz,Parcial,Egresado,True,False,2026,9,True,2026-08-18
PRJ-1057,E035,2026-09-04,DataOps,Deploy,85.0,Aprobado,Matriz,Javier Cueva,2000-11-30,Ingeniería de Software,Matriz,Ninguna,Activo,True,False,2026,9,True,2026-08-18
PRJ-1058,E037,2026-09-04,Desarrollo de Software,Prototipo,92.0,Aprobado,Matriz,Fernando Ortiz,2001-05-18,Ciencias de Datos,Matriz,Completa,Activo,True,False,2026,9,True,2026-08-18
PRJ-1059,E038,2026-09-05,Sistemas de Bases de Datos,Normalización,86.0,Aprobado,Matriz,Carolina Lema,1999-07-07,Ingeniería de Software,Matriz,Ninguna,Activo,True,False,2026,9,True,2026-08-18
PRJ-1060,E040,2026-09-05,Desarrollo de Software,Testing,95.0,Aprobado,Matriz,Patricia León,2000-10-10,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,9,True,2026-08-18
PRJ-1061,E042,2026-09-06,Sistemas de Bases de Datos,Modelado ER,82.0,Aprobado,Matriz,Gabriela Torres,1998-04-26,Ingeniería de Software,Matriz,Parcial,Inactivo,True,False,2026,9,True,2026-08-18
PRJ-1062,E043,2026-09-06,Desarrollo de Software,API REST,98.0,Aprobado,Matriz,Héctor Ruiz,2001-06-15,Ciencias de Datos,Matriz,Completa,Activo,True,False,2026,9,True,2026-08-18
PRJ-1063,E045,2026-09-07,DataOps,Pipeline,91.0,Aprobado,Matriz,Óscar Benavides,1997-11-11,Ciencias de Datos,Matriz,Parcial,Egresado,True,False,2026,9,True,2026-08-18
PRJ-1064,E046,2026-09-07,Desarrollo de Software,Testing,89.0,Aprobado,Matriz,Teresa Moya,2000-12-20,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,9,True,2026-08-18
PRJ-1065,E048,2026-09-08,Sistemas de Bases de Datos,Script SQL,90.0,Aprobado,Matriz,Silvia Carrera,1998-03-15,Ingeniería de Software,Matriz,Parcial,Activo,True,False,2026,9,True,2026-08-18
PRJ-1066,E050,2026-09-08,DataOps,Deploy,92.5,Aprobado,Matriz,Natalia Guevara,1999-07-19,Ingeniería de Software,Matriz,Ninguna,Activo,True,False,2026,9,True,2026-08-18
PRJ-1067,E051,2026-09-09,Desarrollo de Software,Prototipo,88.0,Aprobado,Matriz,Raúl Bermeo,2000-09-02,Ciencias de Datos,Matriz,Parcial,Activo,True,False,2026,9,True,2026-08-18
PRJ-1068,E053,2026-09-09,Sistemas de Bases de Datos,Normalización,91.0,Aprobado,Matriz,Julio Navarrete,2001-12-10,Ciencias de Datos,Matriz,Ninguna,Activo,True,False,2026,9,True,2026-08-18
PRJ-1069,E055,2026-09-10,DataOps,Pipeline,96.0,Aprobado,Matriz,Marcos Solís,2002-04-12,Ciencias de Datos,Matriz,Completa,Activo,True,False,2026,9,True,2026-08-18
PRJ-1070,E056,2026-09-10,Desarrollo de Software,API REST,85.0,Aprobado,Matriz,Rosa Terán,1999-06-25,Ingeniería de Software,Matriz,Ninguna,Activo,True,False,2026,9,True,2026-08-18
PRJ-1071,E058,2026-09-11,Sistemas de Bases de Datos,Modelado ER,98.0,Aprobado,Matriz,Inés Yánez,1997-10-15,Ingeniería de Software,Matriz,Completa,Egresado,True,False,2026,9,True,2026-08-18
PRJ-1072,E060,2026-09-11,DataOps,Deploy,84.0,Aprobado,Matriz,Gloria Andrade,1998-01-05,Ingeniería de Software,Matriz,Parcial,Activo,True,False,2026,9,True,2026-08-18
PRJ-1073,E001,2026-09-12,Desarrollo de Software,Frontend,91.0,Aprobado,Matriz,Mateo Alvarado,1998-05-12,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,9,True,2026-08-18
PRJ-1074,E002,2026-09-12,Sistemas de Bases de Datos,Script SQL,89.0,Aprobado,Matriz,Camila Sánchez,2000-02-20,Ingeniería de Software,Matriz,Parcial,Activo,True,False,2026,9,True,2026-08-18
PRJ-1075,E003,2026-09-13,DataOps,Pipeline,,Pendiente,Matriz,Santiago Ríos,1999-03-10,Ciencias de Datos,Matriz,Ninguna,Activo,True,True,2026,9,False,2026-08-18
PRJ-1076,E006,2026-09-13,Desarrollo de Software,Testing,97.0,Aprobado,Matriz,Martina Vega,2000-06-18,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,9,True,2026-08-18
PRJ-1077,E007,2026-09-14,Sistemas de Bases de Datos,Normalización,88.0,Aprobado,Matriz,Alejandro Mena,1999-07-22,Ingeniería de Software,Matriz,Parcial,Activo,True,False,2026,9,True,2026-08-18
PRJ-1078,E008,2026-09-14,DataOps,Deploy,94.0,Aprobado,Matriz,Luciana Herrera,1998-08-30,Ciencias de Datos,Matriz,Ninguna,Activo,True,False,2026,9,True,2026-08-18
PRJ-1079,E011,2026-09-15,Desarrollo de Software,Prototipo,90.0,Aprobado,Matriz,Joaquín Salazar,1999-10-15,Ciencias de Datos,Matriz,Parcial,Activo,True,False,2026,9,True,2026-08-18
PRJ-1080,E012,2026-09-15,Sistemas de Bases de Datos,Modelado ER,75.0,Revisión,Matriz,Isabella Mora,2000-11-02,Ingeniería de Software,Matriz,Ninguna,Inactivo,True,False,2026,9,False,2026-08-18
PRJ-1081,E013,2026-09-16,DataOps,Pipeline,99.0,Aprobado,Matriz,Matías Jaramillo,1998-11-20,Ciencias de Datos,Matriz,Completa,Activo,True,False,2026,9,True,2026-08-18
PRJ-1082,E016,2026-09-16,Desarrollo de Software,API REST,86.0,Aprobado,Matriz,Emilia Bustamante,2000-01-08,Ciencias de Datos,Matriz,Parcial,Activo,True,False,2026,9,True,2026-08-18
PRJ-1083,E020,2026-09-17,Sistemas de Bases de Datos,Script SQL,82.0,Aprobado,Matriz,Daniela Vargas,2000-03-10,Ingeniería de Software,Matriz,Ninguna,Activo,True,False,2026,9,True,2026-08-18
PRJ-1084,E021,2026-09-17,DataOps,Deploy,95.0,Aprobado,Matriz,Tomás Aguirre,1998-03-22,Ciencias de Datos,Matriz,Completa,Activo,True,False,2026,9,True,2026-08-18
PRJ-1085,E024,2026-09-18,Desarrollo de Software,Testing,93.0,Aprobado,Matriz,Mía Espinosa,2001-05-02,Ciencias de Datos,Matriz,Ninguna,Activo,True,False,2026,9,True,2026-08-18
PRJ-1086,E025,2026-09-18,Sistemas de Bases de Datos,Normalización,89.0,Aprobado,Matriz,Lucas Cordero,2000-05-20,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,9,True,2026-08-18
PRJ-1087,E027,2026-09-19,DataOps,Pipeline,96.0,Aprobado,Matriz,Diego Narváez,2001-07-30,Ingeniería de Software,Matriz,Ninguna,Activo,True,False,2026,9,True,2026-08-18
PRJ-1088,E028,2026-09-19,Desarrollo de Software,Prototipo,87.0,Aprobado,Matriz,Antonella Rivas,1999-08-15,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,9,True,2026-08-18
PRJ-1089,E031,2026-09-20,Sistemas de Bases de Datos,Modelado ER,94.0,Aprobado,Matriz,Carlos Viteri,2001-01-14,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,9,True,2026-08-18
PRJ-1090,E033,2026-09-20,DataOps,Deploy,88.0,Aprobado,Matriz,Luis Macías,1997-06-10,Ingeniería de Software,Matriz,Parcial,Egresado,True,False,2026,9,True,2026-08-18
PRJ-1091,E035,2026-09-21,Desarrollo de Software,API REST,91.0,Aprobado,Matriz,Javier Cueva,2000-11-30,Ingeniería de Software,Matriz,Ninguna,Activo,True,False,2026,9,True,2026-08-18
PRJ-1092,E037,2026-09-21,Sistemas de Bases de Datos,Script SQL,97.0,Aprobado,Matriz,Fernando Ortiz,2001-05-18,Ciencias de Datos,Matriz,Completa,Activo,True,False,2026,9,True,2026-08-18
PRJ-1093,E038,2026-09-22,DataOps,Pipeline,85.0,Aprobado,Matriz,Carolina Lema,1999-07-07,Ingeniería de Software,Matriz,Ninguna,Activo,True,False,2026,9,True,2026-08-18
PRJ-1094,E040,2026-09-22,Desarrollo de Software,Testing,92.0,Aprobado,Matriz,Patricia León,2000-10-10,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,9,True,2026-08-18
PRJ-1095,E042,2026-09-23,Sistemas de Bases de Datos,Normalización,,Pendiente,Matriz,Gabriela Torres,1998-04-26,Ingeniería de Software,Matriz,Parcial,Inactivo,True,True,2026,9,False,2026-08-18
PRJ-1096,E043,2026-09-23,DataOps,Deploy,98.0,Aprobado,Matriz,Héctor Ruiz,2001-06-15,Ciencias de Datos,Matriz,Completa,Activo,True,False,2026,9,True,2026-08-18
PRJ-1097,E045,2026-09-24,Desarrollo de Software,Prototipo,89.0,Aprobado,Matriz,Óscar Benavides,1997-11-11,Ciencias de Datos,Matriz,Parcial,Egresado,True,False,2026,9,True,2026-08-18
PRJ-1098,E046,2026-09-24,Sistemas de Bases de Datos,Modelado ER,90.0,Aprobado,Matriz,Teresa Moya,2000-12-20,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,9,True,2026-08-18
PRJ-1099,E048,2026-09-25,DataOps,Pipeline,93.0,Aprobado,Matriz,Silvia Carrera,1998-03-15,Ingeniería de Software,Matriz,Parcial,Activo,True,False,2026,9,True,2026-08-18
PRJ-1100,E050,2026-09-25,Desarrollo de Software,API REST,86.0,Aprobado,Matriz,Natalia Guevara,1999-07-19,Ingeniería de Software,Matriz,Ninguna,Activo,True,False,2026,9,True,2026-08-18
PRJ-1101,E051,2026-09-26,Sistemas de Bases de Datos,Script SQL,95.0,Aprobado,Matriz,Raúl Bermeo,2000-09-02,Ciencias de Datos,Matriz,Parcial,Activo,True,False,2026,9,True,2026-08-18
PRJ-1102,E053,2026-09-26,DataOps,Deploy,91.0,Aprobado,Matriz,Julio Navarrete,2001-12-10,Ciencias de Datos,Matriz,Ninguna,Activo,True,False,2026,9,True,2026-08-18
PRJ-1103,E055,2026-09-27,Desarrollo de Software,Testing,96.0,Aprobado,Matriz,Marcos Solís,2002-04-12,Ciencias de Datos,Matriz,Completa,Activo,True,False,2026,9,True,2026-08-18
PRJ-1104,E056,2026-09-27,Sistemas de Bases de Datos,Normalización,84.0,Aprobado,Matriz,Rosa Terán,1999-06-25,Ingeniería de Software,Matriz,Ninguna,Activo,True,False,2026,9,True,2026-08-18
PRJ-1105,E058,2026-09-28,DataOps,Pipeline,99.0,Aprobado,Matriz,Inés Yánez,1997-10-15,Ingeniería de Software,Matriz,Completa,Egresado,True,False,2026,9,True,2026-08-18
PRJ-1106,E060,2026-09-28,Desarrollo de Software,Prototipo,88.0,Aprobado,Matriz,Gloria Andrade,1998-01-05,Ingeniería de Software,Matriz,Parcial,Activo,True,False,2026,9,True,2026-08-18
PRJ-1107,E001,2026-09-29,Sistemas de Bases de Datos,Modelado ER,97.0,Aprobado,Matriz,Mateo Alvarado,1998-05-12,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,9,True,2026-08-18
PRJ-1108,E002,2026-09-29,DataOps,Deploy,90.0,Aprobado,Matriz,Camila Sánchez,2000-02-20,Ingeniería de Software,Matriz,Parcial,Activo,True,False,2026,9,True,2026-08-18
PRJ-1109,E003,2026-09-30,Desarrollo de Software,API REST,93.0,Aprobado,Matriz,Santiago Ríos,1999-03-10,Ciencias de Datos,Matriz,Ninguna,Activo,True,False,2026,9,True,2026-08-18
PRJ-1110,E006,2026-09-30,Sistemas de Bases de Datos,Script SQL,98.0,Aprobado,Matriz,Martina Vega,2000-06-18,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,9,True,2026-08-18
PRJ-1111,E007,2026-10-01,DataOps,Pipeline,89.0,Aprobado,Matriz,Alejandro Mena,1999-07-22,Ingeniería de Software,Matriz,Parcial,Activo,True,False,2026,10,True,2026-08-18
PRJ-1112,E008,2026-10-01,Desarrollo de Software,Testing,95.0,Aprobado,Matriz,Luciana Herrera,1998-08-30,Ciencias de Datos,Matriz,Ninguna,Activo,True,False,2026,10,True,2026-08-18
PRJ-1113,E011,2026-10-02,Sistemas de Bases de Datos,Normalización,92.0,Aprobado,Matriz,Joaquín Salazar,1999-10-15,Ciencias de Datos,Matriz,Parcial,Activo,True,False,2026,10,True,2026-08-18
PRJ-1114,E012,2026-10-02,DataOps,Deploy,70.0,Revisión,Matriz,Isabella Mora,2000-11-02,Ingeniería de Software,Matriz,Ninguna,Inactivo,True,False,2026,10,False,2026-08-18
PRJ-1115,E013,2026-10-03,Desarrollo de Software,Prototipo,96.0,Aprobado,Matriz,Matías Jaramillo,1998-11-20,Ciencias de Datos,Matriz,Completa,Activo,True,False,2026,10,True,2026-08-18
PRJ-1116,E016,2026-10-03,Sistemas de Bases de Datos,Modelado ER,85.0,Aprobado,Matriz,Emilia Bustamante,2000-01-08,Ciencias de Datos,Matriz,Parcial,Activo,True,False,2026,10,True,2026-08-18
PRJ-1117,E020,2026-10-04,DataOps,Pipeline,88.0,Aprobado,Matriz,Daniela Vargas,2000-03-10,Ingeniería de Software,Matriz,Ninguna,Activo,True,False,2026,10,True,2026-08-18
PRJ-1118,E021,2026-10-04,Desarrollo de Software,API REST,100.0,Aprobado,Matriz,Tomás Aguirre,1998-03-22,Ciencias de Datos,Matriz,Completa,Activo,True,False,2026,10,True,2026-08-18
PRJ-1119,E024,2026-10-05,Sistemas de Bases de Datos,Script SQL,94.0,Aprobado,Matriz,Mía Espinosa,2001-05-02,Ciencias de Datos,Matriz,Ninguna,Activo,True,False,2026,10,True,2026-08-18
PRJ-1120,E025,2026-10-05,DataOps,Deploy,91.0,Aprobado,Matriz,Lucas Cordero,2000-05-20,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,10,True,2026-08-18
PRJ-1121,E027,2026-10-06,Desarrollo de Software,Testing,97.0,Aprobado,Matriz,Diego Narváez,2001-07-30,Ingeniería de Software,Matriz,Ninguna,Activo,True,False,2026,10,True,2026-08-18
PRJ-1122,E028,2026-10-06,Sistemas de Bases de Datos,Normalización,90.0,Aprobado,Matriz,Antonella Rivas,1999-08-15,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,10,True,2026-08-18
PRJ-1123,E031,2026-10-07,DataOps,Pipeline,,Pendiente,Matriz,Carlos Viteri,2001-01-14,Ingeniería de Software,Matriz,Completa,Activo,True,True,2026,10,False,2026-08-18
PRJ-1124,E033,2026-10-07,Desarrollo de Software,Prototipo,89.0,Aprobado,Matriz,Luis Macías,1997-06-10,Ingeniería de Software,Matriz,Parcial,Egresado,True,False,2026,10,True,2026-08-18
PRJ-1125,E035,2026-10-08,Sistemas de Bases de Datos,Modelado ER,95.0,Aprobado,Matriz,Javier Cueva,2000-11-30,Ingeniería de Software,Matriz,Ninguna,Activo,True,False,2026,10,True,2026-08-18
PRJ-1126,E037,2026-10-08,DataOps,Deploy,98.0,Aprobado,Matriz,Fernando Ortiz,2001-05-18,Ciencias de Datos,Matriz,Completa,Activo,True,False,2026,10,True,2026-08-18
PRJ-1127,E038,2026-10-09,Desarrollo de Software,API REST,87.0,Aprobado,Matriz,Carolina Lema,1999-07-07,Ingeniería de Software,Matriz,Ninguna,Activo,True,False,2026,10,True,2026-08-18
PRJ-1128,E040,2026-10-09,Sistemas de Bases de Datos,Script SQL,93.0,Aprobado,Matriz,Patricia León,2000-10-10,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,10,True,2026-08-18
PRJ-1129,E042,2026-10-10,DataOps,Pipeline,84.0,Aprobado,Matriz,Gabriela Torres,1998-04-26,Ingeniería de Software,Matriz,Parcial,Inactivo,True,False,2026,10,True,2026-08-18
